Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
102 Dalmatians ;2000;Adventure|Comedy|Family;English;USA;G;100;1,85;85000000;66941559;Kevin Lima;Ioan Gruffudd;Eric Idle;Jim Carter;36;2000;795;439;4182;372;1;26413;77;84;4,8;
28 Days ;2000;Comedy|Drama;English;USA;PG-13;103;1,37;43000000;37035515;Betty Thomas;Steve Buscemi;Viggo Mortensen;Elizabeth Perkins;84;12000;10000;664;23864;0;1;34597;194;116;6;
3 Strikes ;2000;Comedy;English;USA;R;82;1,85;6000000;9821335;DJ Pooh;Mo'Nique;Mike Epps;Faizon Love;69;939;706;585;3354;118;1;1415;10;22;4;
Aberdeen ;2000;Drama;English;UK;;106;1,85;6500000;64148;Hans Petter Moland;Charlotte Rampling;Sara-Marie Maltha;Stellan Skarsgård;19;844;2;0;846;260;0;2601;35;28;7,3;
All the Pretty Horses ;2000;Drama|Romance|Western;English;USA;PG-13;220;2,35;57000000;15527125;Billy Bob Thornton;Matt Damon;Henry Thomas;Sam Shepard;0;13000;861;820;15006;652;2;11388;183;85;5,8;
Almost Famous ;2000;Adventure|Comedy|Drama|Music;English;USA;R;152;1,85;60000000;32522352;Cameron Crowe;Philip Seymour Hoffman;Zooey Deschanel;Michael Angarano;488;22000;11000;947;36897;15000;1;207287;822;149;7,9;
American Psycho ;2000;Crime|Drama;English;USA;R;102;2,35;7000000;15047419;Mary Harron;Christian Bale;Justin Theroux;Samantha Mathis;126;23000;1000;517;25462;18000;1;357275;1061;288;7,6;
Amores Perros ;2000;Drama|Thriller;Spanish;Mexico;R;115;1,85;2000000;5383834;Alejandro G. Iñárritu;Adriana Barraza;Jorge Salinas;Goya Toledo;0;85;79;35;318;11000;0;173551;361;157;8,1;
An Everlasting Piece ;2000;Comedy;English;USA;R;103;1,85;14000000;75078;Barry Levinson;Anna Friel;Brían F. O'Byrne;Pauline McLynn;272;736;450;70;1403;132;4;1398;26;34;6,3;
Anatomy ;2000;Horror|Thriller;German;Germany;R;103;2,35;8400000;5725;Stefan Ruzowitzky;Benno Fürmann;Rüdiger Vogler;Sebastian Blomberg;24;127;10;10;163;560;0;10220;110;62;6,1;
